disc_loss,epoch,gen_loss,step,test_acc,test_loss,val_acc,val_loss
,0,,389,,,0.6833999752998352,0.6644092202186584
0.6935531497001648,0,0.6933841109275818,389,,,,
,1,,779,,,0.6833000183105469,0.6643576622009277
0.6931555271148682,1,0.6931257247924805,779,,,,
,2,,1169,,,0.6833999752998352,0.6645868420600891
0.6927873492240906,2,0.6927852034568787,1169,,,,
,3,,1559,,,0.682699978351593,0.6644229292869568
0.6926037073135376,3,0.6927609443664551,1559,,,,
,4,,1949,,,0.6837999820709229,0.6644614338874817
0.6925361156463623,4,0.6927112936973572,1949,,,,
,5,,2339,,,0.6833999752998352,0.664421796798706
0.6925287246704102,5,0.6926890015602112,2339,,,,
,6,,2729,,,0.6834999918937683,0.6643880605697632
0.6928526163101196,6,0.6924416422843933,2729,,,,
,7,,3119,,,0.6836000084877014,0.6643747687339783
0.6925321817398071,7,0.6926254034042358,3119,,,,
,8,,3509,,,0.682699978351593,0.6645839810371399
0.6919285655021667,8,0.6921689510345459,3509,,,,
,9,,3899,,,0.6843000054359436,0.6642646193504333
0.6920629143714905,9,0.6919743418693542,3899,,,,
,10,,4289,,,0.6820999979972839,0.6645496487617493
0.6925522089004517,10,0.6923571228981018,4289,,,,
,11,,4679,,,0.682699978351593,0.6645253300666809
0.6922117471694946,11,0.6919367909431458,4679,,,,
,12,,5069,,,0.6829000115394592,0.6644812226295471
0.6923810839653015,12,0.6924242973327637,5069,,,,
,13,,5459,,,0.683899998664856,0.6643573045730591
0.6917403936386108,13,0.6919417977333069,5459,,,,
,14,,5849,,,0.6832000017166138,0.6645622849464417
0.6915079951286316,14,0.6915125846862793,5849,,,,
,15,,6239,,,0.6833000183105469,0.6644251346588135
0.6909334659576416,15,0.6913411617279053,6239,,,,
,16,,6629,,,0.6823999881744385,0.6645531058311462
0.6911553144454956,16,0.6910097002983093,6629,,,,
,17,,7019,,,0.6848999857902527,0.6642396450042725
0.6915187239646912,17,0.6909376978874207,7019,,,,
,18,,7409,,,0.6819999814033508,0.664592444896698
0.690686821937561,18,0.6908544301986694,7409,,,,
,19,,7799,,,0.6834999918937683,0.6645558476448059
0.690534770488739,19,0.6907236576080322,7799,,,,
,20,,8189,,,0.6833000183105469,0.6643571853637695
0.6912112236022949,20,0.6906073689460754,8189,,,,
,21,,8579,,,0.6827999949455261,0.6645405888557434
0.6911293268203735,21,0.6902750730514526,8579,,,,
,22,,8969,,,0.6832000017166138,0.6644235849380493
0.6899212002754211,22,0.6909283995628357,8969,,,,
,23,,9359,,,0.6832000017166138,0.6644207239151001
0.690201997756958,23,0.6895926594734192,9359,,,,
,24,,9749,,,0.6837000250816345,0.6644115447998047
0.6890841722488403,24,0.6897373795509338,9749,,,,
,25,,10139,,,0.6833000183105469,0.6642948985099792
0.689993679523468,25,0.6893775463104248,10139,,,,
,26,,10529,,,0.6833000183105469,0.6645573973655701
0.6898381114006042,26,0.6903793811798096,10529,,,,
,27,,10919,,,0.682200014591217,0.6645641922950745
0.6896055340766907,27,0.6901810765266418,10919,,,,
,28,,11309,,,0.6843000054359436,0.6643273234367371
0.6890003681182861,28,0.6892840266227722,11309,,,,
,29,,11699,,,0.682699978351593,0.6645851731300354
0.6892467141151428,29,0.6886616349220276,11699,,,,
,30,,11700,0.6858000159263611,0.6646743416786194,,
